set,phase,ms,type
baseline,load,437.5,self
baseline,load,437.5,cumulative
baseline,render,122.403,self
baseline,render,559.903,cumulative
baseline,paint,0.234,self
baseline,paint,560.137,cumulative
baseline,load,431.889,self
baseline,load,431.889,cumulative
baseline,render,121.397,self
baseline,render,553.286,cumulative
baseline,paint,0.213,self
baseline,paint,553.499,cumulative
baseline,load,427.619,self
baseline,load,427.619,cumulative
baseline,render,123.295,self
baseline,render,550.914,cumulative
baseline,paint,0.214,self
baseline,paint,551.128,cumulative
baseline,load,432.501,self
baseline,load,432.501,cumulative
baseline,render,121.554,self
baseline,render,554.055,cumulative
baseline,paint,0.022,self
baseline,paint,554.077,cumulative
baseline,load,426.226,self
baseline,load,426.226,cumulative
baseline,render,122.422,self
baseline,render,548.648,cumulative
baseline,paint,0.021,self
baseline,paint,548.669,cumulative
baseline,load,427.05,self
baseline,load,427.05,cumulative
baseline,render,122.148,self
baseline,render,549.198,cumulative
baseline,paint,0.06,self
baseline,paint,549.258,cumulative
baseline,load,431.211,self
baseline,load,431.211,cumulative
baseline,render,123.235,self
baseline,render,554.446,cumulative
baseline,paint,0.021,self
baseline,paint,554.467,cumulative
baseline,load,432.459,self
baseline,load,432.459,cumulative
baseline,render,123.226,self
baseline,render,555.685,cumulative
baseline,paint,0.021,self
baseline,paint,555.706,cumulative
baseline,load,438.658,self
baseline,load,438.658,cumulative
baseline,render,121.422,self
baseline,render,560.08,cumulative
baseline,paint,0.031,self
baseline,paint,560.111,cumulative
baseline,load,443.332,self
baseline,load,443.332,cumulative
baseline,render,123.876,self
baseline,render,567.208,cumulative
baseline,paint,0.021,self
baseline,paint,567.229,cumulative
baseline,load,432.17,self
baseline,load,432.17,cumulative
baseline,render,119.241,self
baseline,render,551.411,cumulative
baseline,paint,0.229,self
baseline,paint,551.64,cumulative
baseline,load,425.354,self
baseline,load,425.354,cumulative
baseline,render,121.67,self
baseline,render,547.024,cumulative
baseline,paint,0.27,self
baseline,paint,547.294,cumulative
baseline,load,437.378,self
baseline,load,437.378,cumulative
baseline,render,121.789,self
baseline,render,559.167,cumulative
baseline,paint,0.022,self
baseline,paint,559.189,cumulative
baseline,load,428.109,self
baseline,load,428.109,cumulative
baseline,render,123.589,self
baseline,render,551.698,cumulative
baseline,paint,0.022,self
baseline,paint,551.72,cumulative
baseline,load,430.863,self
baseline,load,430.863,cumulative
baseline,render,126.11,self
baseline,render,556.973,cumulative
baseline,paint,0.021,self
baseline,paint,556.994,cumulative
baseline,load,432.742,self
baseline,load,432.742,cumulative
baseline,render,125.644,self
baseline,render,558.386,cumulative
baseline,paint,0.031,self
baseline,paint,558.417,cumulative
baseline,load,422.981,self
baseline,load,422.981,cumulative
baseline,render,122.905,self
baseline,render,545.886,cumulative
baseline,paint,0.207,self
baseline,paint,546.093,cumulative
baseline,load,425.642,self
baseline,load,425.642,cumulative
baseline,render,124.718,self
baseline,render,550.36,cumulative
baseline,paint,0.2,self
baseline,paint,550.56,cumulative
baseline,load,423.955,self
baseline,load,423.955,cumulative
baseline,render,120.408,self
baseline,render,544.363,cumulative
baseline,paint,0.023,self
baseline,paint,544.386,cumulative
baseline,load,435.552,self
baseline,load,435.552,cumulative
baseline,render,121.872,self
baseline,render,557.424,cumulative
baseline,paint,0.033,self
baseline,paint,557.457,cumulative
baseline,load,434.589,self
baseline,load,434.589,cumulative
baseline,render,124.371,self
baseline,render,558.96,cumulative
baseline,paint,0.023,self
baseline,paint,558.983,cumulative
baseline,load,425.508,self
baseline,load,425.508,cumulative
baseline,render,124.351,self
baseline,render,549.859,cumulative
baseline,paint,0.023,self
baseline,paint,549.882,cumulative
baseline,load,430.001,self
baseline,load,430.001,cumulative
baseline,render,119.52,self
baseline,render,549.521,cumulative
baseline,paint,0.021,self
baseline,paint,549.542,cumulative
baseline,load,435.986,self
baseline,load,435.986,cumulative
baseline,render,122.515,self
baseline,render,558.501,cumulative
baseline,paint,0.023,self
baseline,paint,558.524,cumulative
baseline,load,427.961,self
baseline,load,427.961,cumulative
baseline,render,123.433,self
baseline,render,551.394,cumulative
baseline,paint,0.207,self
baseline,paint,551.601,cumulative
baseline,load,432.703,self
baseline,load,432.703,cumulative
baseline,render,122.259,self
baseline,render,554.962,cumulative
baseline,paint,0.022,self
baseline,paint,554.984,cumulative
baseline,load,429.482,self
baseline,load,429.482,cumulative
baseline,render,120.433,self
baseline,render,549.915,cumulative
baseline,paint,0.021,self
baseline,paint,549.936,cumulative
baseline,load,436.384,self
baseline,load,436.384,cumulative
baseline,render,121.666,self
baseline,render,558.05,cumulative
baseline,paint,0.021,self
baseline,paint,558.071,cumulative
baseline,load,428.079,self
baseline,load,428.079,cumulative
baseline,render,124.934,self
baseline,render,553.013,cumulative
baseline,paint,0.245,self
baseline,paint,553.258,cumulative
baseline,load,441.978,self
baseline,load,441.978,cumulative
baseline,render,121.987,self
baseline,render,563.965,cumulative
baseline,paint,0.021,self
baseline,paint,563.986,cumulative
baseline,load,451.079,self
baseline,load,451.079,cumulative
baseline,render,119.248,self
baseline,render,570.327,cumulative
baseline,paint,0.048,self
baseline,paint,570.375,cumulative
baseline,load,433.133,self
baseline,load,433.133,cumulative
baseline,render,126.153,self
baseline,render,559.286,cumulative
baseline,paint,0.023,self
baseline,paint,559.309,cumulative
baseline,load,432.811,self
baseline,load,432.811,cumulative
baseline,render,124.53,self
baseline,render,557.341,cumulative
baseline,paint,0.032,self
baseline,paint,557.373,cumulative
baseline,load,437.385,self
baseline,load,437.385,cumulative
baseline,render,124.115,self
baseline,render,561.5,cumulative
baseline,paint,0.023,self
baseline,paint,561.523,cumulative
baseline,load,427.394,self
baseline,load,427.394,cumulative
baseline,render,125.044,self
baseline,render,552.438,cumulative
baseline,paint,0.022,self
baseline,paint,552.46,cumulative
baseline,load,431.098,self
baseline,load,431.098,cumulative
baseline,render,122.678,self
baseline,render,553.776,cumulative
baseline,paint,0.228,self
baseline,paint,554.004,cumulative
baseline,load,435.591,self
baseline,load,435.591,cumulative
baseline,render,125.76,self
baseline,render,561.351,cumulative
baseline,paint,0.035,self
baseline,paint,561.386,cumulative
baseline,load,431.767,self
baseline,load,431.767,cumulative
baseline,render,121.899,self
baseline,render,553.666,cumulative
baseline,paint,0.022,self
baseline,paint,553.688,cumulative
baseline,load,442.838,self
baseline,load,442.838,cumulative
baseline,render,125.766,self
baseline,render,568.604,cumulative
baseline,paint,0.023,self
baseline,paint,568.627,cumulative
baseline,load,434.499,self
baseline,load,434.499,cumulative
baseline,render,121.97,self
baseline,render,556.469,cumulative
baseline,paint,0.022,self
baseline,paint,556.491,cumulative
baseline,load,437.008,self
baseline,load,437.008,cumulative
baseline,render,123.601,self
baseline,render,560.609,cumulative
baseline,paint,0.021,self
baseline,paint,560.63,cumulative
baseline,load,444.627,self
baseline,load,444.627,cumulative
baseline,render,123.385,self
baseline,render,568.012,cumulative
baseline,paint,0.022,self
baseline,paint,568.034,cumulative
baseline,load,432.104,self
baseline,load,432.104,cumulative
baseline,render,122.735,self
baseline,render,554.839,cumulative
baseline,paint,0.022,self
baseline,paint,554.861,cumulative
baseline,load,429.908,self
baseline,load,429.908,cumulative
baseline,render,123.019,self
baseline,render,552.927,cumulative
baseline,paint,0.239,self
baseline,paint,553.166,cumulative
baseline,load,430.729,self
baseline,load,430.729,cumulative
baseline,render,124.82,self
baseline,render,555.549,cumulative
baseline,paint,0.022,self
baseline,paint,555.571,cumulative
baseline,load,434.706,self
baseline,load,434.706,cumulative
baseline,render,122.303,self
baseline,render,557.009,cumulative
baseline,paint,0.033,self
baseline,paint,557.042,cumulative
baseline,load,434.227,self
baseline,load,434.227,cumulative
baseline,render,123.823,self
baseline,render,558.05,cumulative
baseline,paint,0.032,self
baseline,paint,558.082,cumulative
baseline,load,429.521,self
baseline,load,429.521,cumulative
baseline,render,123.327,self
baseline,render,552.848,cumulative
baseline,paint,0.023,self
baseline,paint,552.871,cumulative
baseline,load,431.475,self
baseline,load,431.475,cumulative
baseline,render,123.688,self
baseline,render,555.163,cumulative
baseline,paint,0.031,self
baseline,paint,555.194,cumulative
baseline,load,432.466,self
baseline,load,432.466,cumulative
baseline,render,125.004,self
baseline,render,557.47,cumulative
baseline,paint,0.024,self
baseline,paint,557.494,cumulative
